model,target,variogram_model,fold,test_blocks,n_train_available,n_train_used,n_test,n_closest_points,status,error,mae,rmse,r2,mape,bias,explained_variance
OrdinaryKriging,Organic_Carbon,exponential,3,Chelannur,3906,1200,1002,48,success,,0.688739991434768,0.8811391940572026,-0.22208330891643469,242.14660476914594,0.3756232523899446,4.047013987262815e-07
OrdinaryKriging,Organic_Carbon,exponential,4,Nedumangad,3909,1200,999,48,success,,0.9340053726984405,1.1352625307504787,-0.23395410518017856,163.11965642272594,0.4912001723431951,-0.0029480202969176528
OrdinaryKriging,Organic_Carbon,gaussian,1,Pampady,3052,1200,1856,48,success,,0.8581896164593408,1.0713612051205508,-0.058102924029106884,125.00196561995787,0.22013877645214813,-0.013429506351149367
OrdinaryKriging,Organic_Carbon,gaussian,2,Vazhoor,3857,1200,1051,48,success,,0.9240697486516144,1.1902567798466601,-0.05601768227191917,101.6474565405954,0.10947815192682767,-0.047083706353657995
OrdinaryKriging,Organic_Carbon,gaussian,3,Chelannur,3906,1200,1002,48,success,,0.684512065948095,0.8774885369918427,-0.21197783399282577,240.7461826196684,0.3669774160244697,5.540012892879531e-14
OrdinaryKriging,Organic_Carbon,gaussian,4,Nedumangad,3909,1200,999,48,success,,0.9493823902780659,1.1483889880451894,-0.26265422836013985,165.97271502342858,0.5204306196689082,-0.0033365769546604973
OrdinaryKriging,Organic_Carbon,linear,1,Pampady,3052,1200,1856,48,success,,0.8588502444002577,1.071702492470862,-0.058777159122533895,125.26519807714092,0.22489996572387264,-0.012150439654591283
OrdinaryKriging,Organic_Carbon,linear,2,Vazhoor,3857,1200,1051,48,success,,0.9215220778689228,1.188748020253586,-0.05334218060987572,101.56002413753595,0.10547771265216085,-0.04504918818102799
OrdinaryKriging,Organic_Carbon,linear,3,Chelannur,3906,1200,1002,48,success,,0.6843325759383926,0.8772842134828748,-0.21141348079074662,240.67432582083882,0.36671742099406696,0.0002640967951801354
OrdinaryKriging,Organic_Carbon,linear,4,Nedumangad,3909,1200,999,48,success,,0.9381637905440098,1.138793494828045,-0.2416418836115073,163.91976963626564,0.49934455321259424,-0.0029118645601238224
OrdinaryKriging,Ca,spherical,1,Pampady,3052,1200,1856,48,success,,308.5666005136851,356.1482094544689,-0.30530892286801636,433.1603980739285,169.78813957755884,-0.008643811171080262
OrdinaryKriging,Ca,spherical,2,Vazhoor,3857,1200,1051,48,success,,369.9997514441078,449.44723294789543,-0.6702832823698683,82.55616968761743,-272.9571523881411,-0.0542251855781366
OrdinaryKriging,Ca,spherical,3,Chelannur,3906,1200,1002,48,success,,135.40650696864395,190.51617936396678,-0.015505312681170835,43.726772301435126,-23.541331772794305,-4.440892098500626e-16
OrdinaryKriging,Ca,spherical,4,Nedumangad,3909,1200,999,48,success,,204.23681802018197,240.41506570255814,-0.00040999625507809334,49.29652535423586,1.4417678374987775,-0.00037401756642596595
OrdinaryKriging,Ca,exponential,1,Pampady,3052,1200,1856,48,success,,308.589303742159,356.3457879545101,-0.30675760355441883,433.70864140318173,170.53742798659508,-0.0074683013017950994
OrdinaryKriging,Ca,exponential,2,Vazhoor,3857,1200,1051,48,success,,369.08219987458205,448.1677687394736,-0.6607870582444852,83.14070550144092,-269.7857865922278,-0.05896120058639576
OrdinaryKriging,Ca,exponential,3,Chelannur,3906,1200,1002,48,success,,135.3463541075817,192.48851487865738,-0.03664036681193816,42.18890353364774,-36.18850732462906,0.0
OrdinaryKriging,Ca,exponential,4,Nedumangad,3909,1200,999,48,success,,204.23681806546364,240.41506565806353,-0.00040999588477808047,49.29652526574714,1.4417664362599616,-0.0003740172660604557
OrdinaryKriging,Ca,gaussian,1,Pampady,3052,1200,1856,48,success,,308.49092655889433,355.7336715047577,-0.3022720681871609,431.95906208794383,168.09654075999313,-0.011488856677916992
OrdinaryKriging,Ca,gaussian,2,Vazhoor,3857,1200,1051,48,success,,367.9571391795054,446.5973779808705,-0.6491685732312202,83.9403349617079,-265.6310556684897,-0.06573635391896748
